,Donor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,status,size
0,Portugal,2.508421861688384,2.302478934854036,3.2635974641016556,1.0286908210142969,-1.3934798518787561,1.5204132340053063,-2.3735532892814284,0.14704966345854997,0.08460716927771193,-1.162352250888719,1.3260785422215173,-0.830441054023664,-0.3198813381122461,-0.2027754275509371,0.16336637060565143,0.5874280259824377,0.03842346179195096,0.4194238999456472,0.07284453630226463,0.09778219757597474,0.006056049351494297,0.06501013891331311,0.07175859730639336,0.08790661329362057,-0.016862360295831595,-0.0028055303284021064,0.002707541734341065,DAC,412.99
1,Poland,4.84645491314703,-1.3455201939841979,-0.17938229273257164,0.6911617588031757,1.148656978688302,-0.6697257544806012,-0.2984873496839621,-0.8963377460945754,1.1820057727823488,-0.7040915118739636,-0.7219017713085325,-0.0005995511481489651,0.7175773297346458,-0.692429748301463,-0.8474101400545616,0.18325126865367392,-0.4739935712115806,-0.09625057050323878,0.5293702190579831,0.31661476687846607,0.1340618559882748,0.3233943354918402,0.11244572943748275,-0.03647734573366464,0.012612796243066845,0.027204242258533066,0.002935195377319923,DAC,829.25
2,Sweden,-3.4691482040966264,-2.160775213848059,-0.024257998774956904,-1.1435734423391883,-0.731496750521028,-0.3805235199561,-0.9058649851858958,-0.28957072380663573,-0.14460102003315137,-1.126184111819033,0.4648889355308424,0.9893258321616544,0.94266721995325,0.3436877274844713,0.13875621019132198,-0.7097335276513873,0.2523778645712278,0.09890409603029454,0.6052737819448482,0.005987244872843573,0.13652750067846803,0.06728235674903035,-0.23540759332709119,-0.011999304210213318,-0.10653100958618845,-0.01221393842037811,-0.014233358890722064,DAC,6348.62
3,Italy,-0.11249852506141789,-0.6273624121050325,-1.982641715267112,2.3464331839685713,-0.36560023445224876,0.4025033051777964,1.2867241524917643,-0.5507213381130507,-0.7520334067193495,0.5544636526589242,1.728203648122714,0.8961626953492243,-0.7253178457074551,0.0005476648046115291,-0.7337168088024962,0.587107882019392,-0.10214767201073044,0.00012821014888512853,0.128833668150833,-0.15333908027247561,-0.21896635329744335,0.010138561097216123,0.09211245730315751,0.027786996270097508,-0.06182730641245179,0.012052705736517236,-0.027499717610153195,DAC,4248.38
4,Austria,1.6897083356789246,-1.670224435961538,-1.8761324676898294,-0.25502017693244683,0.43388558055256526,0.1927864077362588,0.02585906090046358,-1.2321911366804879,-0.07056791101629632,1.2679044924260792,-0.7468982627885189,-0.4941108161321994,0.2459494804391626,-0.6369042846650724,0.4581907773819232,0.8671402337553465,0.41995570705569185,0.8197053308461753,0.12872436278322297,-0.1306778398188885,0.22104477053800936,-0.10053472339207035,-0.2139729698087067,0.09929278841695593,0.04995819934976788,-0.0010889183344612145,-0.009664044972000454,DAC,1273.35
5,Greece,7.8565660458460975,-1.9762590524455632,0.9260383622602902,-1.4013010427722536,-1.6875341622931803,-0.18653911573856952,0.9213721807365558,0.7540987540782632,-1.6826342151284084,0.323870365311884,-0.4498081971400873,-0.20515120995591246,-1.2123561172852477,0.5226746608927927,-0.528307944175041,-0.8867542355472208,0.11505271363058074,0.33355624989374,0.22285828751792874,0.10353771465660233,0.07646469832672269,-0.016714933027146103,-0.03559367937543647,0.009507006112388045,0.013189984893593663,-0.009795228856404646,0.0015269770314158206,DAC,325.44
6,Slovenia,6.656910139646434,-1.4957418292094662,0.6838450650691358,-1.975880241285385,0.3206944484395162,-0.3905359870458728,0.1341776862901783,-0.5253351333985178,1.0073849706287619,-0.7547924594682031,0.014493307368980995,0.3782806142461899,0.37464501695338004,-0.9215570942411014,-0.0024047115822234,-0.1025398773632875,0.1655354058081151,-0.3982641010857827,-0.466116223450323,-0.6299679563392753,-0.2934483936111986,-0.20092697073979482,0.044455613195006065,-0.003428230548517592,-0.03851725437058088,-0.01911014100545476,-0.005355327668444803,DAC,90.73
7,Spain,0.39321245500752894,-1.7799279146618012,-1.2115592522250689,1.4414580484938515,1.7275985020961466,0.28185339670837367,-1.2939268399637527,1.1978097186615428,-1.4017012192294007,0.48186528695086744,0.27982216276237626,-0.6318617677490448,0.34730312214756326,-0.4185430406459732,0.9334387996370713,-0.4991047520176176,0.5971102465608066,-0.11068218459907735,0.18550444566142174,-0.25900822760562825,-0.008840598652586103,0.12360309273523018,0.2646640128722554,-0.1574655244680996,0.0026723912329147128,-0.0009415820007573166,-0.0038402608620667963,DAC,2987.04
8,Australia,-1.5987367752755302,3.410965821994269,0.21432967512750345,-1.9247748641779814,2.6082902820212337,-1.455775555019201,-1.1244639794843492,0.09603059847151857,-1.3259667972903177,-0.36449920533659463,0.45977031401831736,0.048231838168010605,-0.8380954800015233,-0.7339759391033759,-0.1367318435234299,-0.07152961058210956,-0.43614515258299036,-0.1871505203122601,-0.0030072156122473923,0.17488774123991188,0.16301087202899647,-0.19930340726562795,-0.11261205302430162,-0.08232334609913333,0.05775407337010076,0.06084164805623889,-0.014987462873631608,DAC,2868.76
9,Belgium,-1.3513324784389045,-1.6752371123376013,0.27221383618317413,1.0759183997032613,0.15551345117782028,2.753302309105317,0.3694739143284398,-0.48254907652043694,-1.28204995020882,0.2936484596895415,-1.0093740555082351,0.12482012748514182,-0.257193580880239,-0.47493903424568945,0.1762856486934759,-0.1749584748991885,-0.4728400322370503,-0.44862040762138006,-0.3044761163148413,0.1571337471629024,-0.2063942903752395,0.28821489108806514,-0.1725165597376246,-0.018742930530426236,0.03382271361789175,-0.011766566216419956,-9.637795490436041e-05,DAC,2343.58
