"","Recipient(s)","All Developing Countries, Total","North of Sahara, Total","South of Sahara, Total","Caribbean & Central America, Total","South America, Total","Middle East, Total","South & Central Asia, Total","Far East Asia, Total","Europe, Total","Oceania, Total","LDCs, Total","Other LICs, Total","LMICs, Total","UMICs, Total","Land-Locked countries, Total","Small island states, Total","Fragile states, Total","Afghanistan","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Armenia","Azerbaijan","Bangladesh","Belarus","Belize","Benin","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Central African Republic","Chad","China (People's Republic of)","Colombia","Comoros","Congo","Costa Rica","Cote d'Ivoire","Cuba","Democratic People's Republic of Korea","Democratic Republic of the Congo","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Eswatini","Ethiopia","Fiji","Gabon","Gambia","Georgia","Ghana","Grenada","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","India","Indonesia","Iran","Iraq","Jamaica","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kyrgyzstan","Lao People's Democratic Republic","Lebanon","Lesotho","Liberia","Libya","Madagascar","Malawi","Malaysia","Maldives","Mali","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia","Moldova","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Rwanda","Saint Helena","Saint Lucia","Saint Vincent and the Grenadines","Samoa","Sao Tome and Principe","Senegal","Serbia","Sierra Leone","Solomon Islands","Somalia","South Africa","South Sudan","Sri Lanka","Sudan","Suriname","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Tunisia","Türkiye","Turkmenistan","Tuvalu","Uganda","Ukraine","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna","West Bank and Gaza Strip","Yemen","Zambia","Zimbabwe",
"Donor(s)",
"Germany","","25878.79","1387.29","4293.23","423.61","1318.56","2835.92","2613.8","2181.37","1360.24","12.57","3549.93","38.62","6691.32","4193.69","2111.28","45.4","5515.45","373.13","92.59","16.94","4.33","0","23.24","35.78","38.1","170.67","52.93","0.08","65.38","1.57","32.54","80.05","1.3","158.42","93.44","34.29","0.97","35.64","119.3","49.61","39.92","774.99","714.54","0.01","0.58","12.84","81.08","2.53","1.89","176.73","0.43","0.12","7.17","34.41","173.95","9.46","0.02","3.84","0.33","447.44","1.85","0.65","2.8","356.92","92.39","0.42","23.81","11.61","0.4","0.47","10.26","27.12","1189.76","997.15","104.76","407.29","0.28","449.66","21.02","104.7","..","44.45","24.66","28.24","294.11","1.23","31.74","46.64","35.72","97.17","14.62","0.54","108.55","1.96","25.09","2.8","101.4","..","11.95","24.87","24.56","..","617.63","97.61","74.93","57.41","..","57.49","10.9","142.95","123.61","..","15.4","114.06","0.08","1.04","3.11","4.77","209.48","37.46","59.88","..","0.03","0","0.03","0","171.38","113.71","30.29","0.44","204.59","175.27","155.22","22.4","179.72","0.08","890.45","19.09","51.54","35.38","9.31","41.94","0.01","0.16","372.87","534.89","1.75","..","60.84","207.37","34.82","..","10.58","210.93","..","225.18","305.35","57.2","36.72"
"Greece","","84.78","0.01","0.04","0","0.04","0.25","0.04","..","4.01","..","0.11","..","0.23","4.05","0.04","..","0.36","0.03","0","..","..","..","..","..","..","0","..","..","..","..","..","0","..","..","..","..","..","..","0","..","..","..","0","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..","0","..","..","0","0","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","0.03","..","0.21","..","..","..","..","..","..","..","0","4","..","..","..","0","0","..","0.03","..","..","..","0.03","0",".."
"Hungary","","225.93","9.91","12.34","2.46","5.06","37.45","23.65","30.88","80.59","0.03","14.41","0.05","90.33","97.58","32.49","0.19","47.38","0.02","1.33","1.14","0.62","..","0.22","0.04","4.57","1.14","0.06","..","0","0","0","0.97","0","3.39","0","0","0.13","0.35","0.02","0","0.02","5.27","0.58","..","0.01","0","0","0","..","0.23","..","0.01","0","0.83","2.55","0","..","0.06","0","0.86","0.03","0","0.02","1.12","1.36","..","0","0","..","0","..","0","3.79","2.05","2.42","6.08","0","10.11","4.43","3.39","..","1.19","2.5","7.87","3.99","..","0","0.02","0.01","0","0.31","..","0.02","..","0","0.01","2.43","..","0.85","8.37","0.97","..","2.52","0.01","0.21","0.05","..","0.01","0","0","1.94","..","0.77","4.78","..","0.01","..","0.01","0.01","0.35","0.01","..","..","..","..","..","0","49.39","0","..","0","1.58","0.01","0.08","0.34","..","9.85","0.04","0.47","0.36","..","0","..","..","3.68","5.9","0.41","..","1.11","19.14","0.5","..","0.01","5.96","..","4","1","0","0.05"
"Iceland","","46.13","..","17.83","0.31","..","3.27","0.86","0.12","0.39","..","18.69","..","2.87","0.76","14.49","..","13.35","0.85","0.11","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","0.19","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","0.24","..","..","..","..","..","0.31","..","..","..","0.23","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","0.07","..","0.16","0.01","0.12","..","..","..","..","0.3","..","0.32","..","..","7.54","..","..","0.15","..","..","..","..","..","..","..","..","..","..","1.35","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.11","..","..","..","..","..","..","0.15","..","1.45","..","..","..","..","..","..","..","1.36","..","..","..","..","0.11","..","..","..","0.27","..","..","5.52","..","..","..","..","0.01","..","0.8","0.59","..",".."
"Ireland","","521.95","0.06","264.88","6.92","6.14","35.88","10.53","11.79","6.47","2.34","253.92","10.34","49.65","26.73","144.94","4.97","275.22","3.17","..","..","0.47","0.34","0.08","0.05","..","2.61","0.02","..","0.02","..","0.03","..","..","0.64","1.17","1.83","..","1.13","1.12","5.74","2.56","0.04","2.78","..","0.02","..","0.02","0","0.34","8.15","..","..","..","0.13","0.05","0.15","..","1.41","..","45.22","0.09","..","..","0.04","0.19","..","1.35","0.37","0.39","..","1.9","1.33","0.73","0.06","0.01","1.76","0","4.45","0.04","9.18","0.01","0.05","..","0.98","4.3","0.14","5.35","..","0.08","23.75","..","..","1.17","..","0.32","..","0.17","..","..","..","..","..","..","29.38","2.58","0.06","..","0.58","1.25","3.97","2.13","..","..","0.6","..","..","0.14","0.1","0.57","0.37","2.15","..","..","..","0","..","0.68","..","16.67","0","7.67","5.27","9.81","0.11","7","0","7.72","..","26.1","0.25","..","0.02","..","2.04","0.01","6.3","..","0.05","25.94","0.05","0.04","0","1.73","8.59","..","9.82","6.87","6.52","10"
"Italy","","1403.01","158.08","260.54","24.67","30.92","134.6","91.55","33.55","63.53","0.04","283.06","0.32","290.67","191.37","128.63","13.4","395.46","24.44","13.86","0.21","2.01","0.47","1.09","0.24","0.94","2.66","0.4","0.15","4.98","0.02","5.86","2.98","0.01","7.66","11.9","2.18","0.65","0.27","7.92","3.18","1.83","3.15","7.1","..","0.09","0.32","3.14","9.79","0.09","6.83","16.49","0.16","0.04","1.31","25.19","3.05","..","0.98","..","31.15","..","0.17","0.02","0.31","0.96","..","0.4","1.38","0.63","..","0.85","2.68","15.91","0.94","4.45","12.57","..","19.26","0.25","9.33","..","0.78","0.04","0.01","35.7","0.14","0.63","39.32","3.53","0.96","0.06","0.12","10.71","..","0.04","0.01","0.69","..","0.7","0.17","0.28","..","2.9","18.37","23.7","0.03","..","0.84","4.07","19.42","1.82","..","0.5","11.97","..","0.02","..","0.69","3.06","20.41","1.67","..","..","..","..","..","29.56","0.66","2.79","..","18.1","1.51","3.38","9.54","15.38","..","16.22","..","8.76","0.33","0.55","2.51","..","..","90.44","39.15","0.01","..","5.86","1.25","0.42","..","2.19","5.03","..","28.95","3.52","0.87","0.23"
"Japan","","16887.07","443.34","1320.51","328.77","288.12","1315.57","6088.64","4080.43","137.51","328.6","4726.51","32.69","7484.1","1899.13","1476.21","466.29","6098.14","126.23","1.81","1.65","7.27","0.15","3.13","1.91","13.65","2130.83","0.29","0.91","18.41","22.68","14.85","19.95","13.41","157.36","53.2","5.66","2.39","271.23","25.52","10.84","7.55","1.92","8.33","5.7","4.22","14.48","65.51","10.32","..","45.69","13.92","0.64","8.02","6.07","311.17","62.76","0.08","2.08","6.98","75.23","41.31","2.28","3.12","5.04","51.32","1.88","42","12.96","5.32","9.9","25.71","15.42","1807.74","1369.77","15.21","820.63","6.97","256.89","1.46","221.72","12.5","4.17","22.72","89.37","24.8","4.09","21.96","9.49","64.46","28.22","9.84","61.09","8.88","12.56","11.71","14.28","112.78","7.53","1.26","298.56","1.03","..","61.09","72.72","1093.52","2.66","2.26","87.6","5.77","11.18","13.54","0.17","1.41","52.98","33.1","19.26","126.69","53.44","21.07","1151.14","56.01","..","1.24","0.45","9.52","3.04","40.14","48.09","12","13.51","17.77","9.78","22.34","297.36","16.86","0.03","76.15","26.66","55.18","220.55","19.17","5.85","0","17.62","59.47","50.18","0.27","2.04","44.01","8.54","312.83","9.97","0.31","620.42","..","62","47.75","21","32.69"
"Korea","","1925.23","19.91","412.04","54.3","122.34","67.18","391.17","546.23","10.82","15.52","766.49","1.56","658.7","201.03","454.1","36.05","848.58","17.47","0.52","1.79","1.05","..","0.62","0.5","8.85","112.66","1.07","0.24","0.2","1.77","14.6","0.26","0.74","2.55","2.17","0.9","0.08","101.43","12.23","2.57","5.09","6.07","17.68","0.29","0.08","2.45","8.89","2.83","..","9.45","0.3","..","4.77","9.93","7.79","7.25","0.27","0","0.46","108.62","8.16","1.24","0.46","1.36","19.03","..","3.69","2.08","0.32","0.16","0.73","5.92","3.75","51.09","8.82","11.45","0.77","11.81","2.62","24.64","0.93","..","12.56","41.55","4.48","0.18","0.51","1.73","5.6","2.42","3.03","0.32","3.02","0.21","0.55","0.3","2.4","0.57","0.65","32.66","0.31","..","5.07","10.45","109.25","0.5","0.2","16.13","20.72","1.95","6.37","0.12","0.46","11.6","0.69","1.67","0.59","65.44","9.45","157.07","12.93","..","0.2","..","0.74","0.08","18.26","1.61","5.61","0.85","2.18","0.86","5.42","23.67","8.75","0.06","3.42","5.32","91.64","5.03","10.98","1.68","..","0.23","3.53","4.11","1.45","0.38","23.63","1.53","58.46","0.23","1.55","137.25","..","4.27","22.04","1.94","1.56"
"Luxembourg","","314.81","1.27","137.32","9.09","4.33","14.7","18.82","30.32","5.22","..","163.02","..","43.32","8.24","130.8","16.27","159.57","3.97","0.3","..","..","..","0.28","0.09","0.25","4.36","..","..","1.19","..","0.78","0.28","..","0.51","30.5","0.32","14.85","1.34","0.71","2.51","0.29","0.19","0.71","..","..","..","0.18","0.13","..","2.79","..","..","..","0.11","0.09","2.09","..","..","0","2.05","..","..","..","0.17","0.06","..","0.37","0.38","..","..","1.3","0.07","1.38","0.15","..","1.38","..","0.6","0.06","0.49","..","3.23","..","22.26","0.86","..","..","0.69","0.81","1.09","..","..","22.53","..","0","..","..","..","0.07","1.81","0.09","..","..","0.32","5.58","..","..","2.39","4","34.13","0.11","..","0.12","..","..","..","..","0.13","1.17","1.62","1.81","..","..","..","..","..","13.22","0.12","..","..","0.6","0.3","2.58","0.08","0.41","..","2.87","0.05","0.49","0.11","..","0.83","..","..","0.27","0.38","..","..","0.5","0.59","0.09","..","0.11","2.43","..","4.02","2.01","0.44",".."
"Netherlands","","3748.29","19.95","669.92","2.24","10.15","178.09","92.99","11.49","36.71","..","605.04","1.75","124.63","85.12","382.96","4.95","685.82","51.83","3.53","0.67","0.12","..","0.18","0.15","0.12","32.4","1.21","..","38.72","..","..","0.11","..","0.28","22.29","31.38","..","0.14","..","6.53","..","2.89","1.45","..","0.06","0.3","0","0.26","..","16.35","..","..","0.02","..","9.89","0.03","..","..","..","108.55","..","..","..","0.69","12.3","..","0.23","..","..","..","..","0.02","0.36","6.27","0.69","35.61","..","14.69","0.44","7.26","..","0.05","..","0.03","26.26","..","..","3.07","..","..","..","..","30.29","..","..","..","0.14","..","0.1","0.32","0.01","..","0.26","47.66","2.48","..","..","..","0.14","23.98","9.51","..","0.27","4.49","..","..","..","..","0.06","0.37","30.8","..","..","..","..","..","3.58","0.16","0","..","28.71","0.68","37.38","0.05","14.22","4.62","23.91","..","0.31","0.05","0.04","..","..","..","3.97","0.73","..","..","36.76","2.1","..","..","1.28","0.27","..","27.14","40.48","..","1.75"
